policy_number,sale_date,product_value_,sale_value_nis,nature,percentage_of_sale,city,year_of_construction,area,bedrooms,addresses,address,coordinates,closest_direct_address,direct_distance_km,class,sale_year,sale_year_range,subgroup
"['006164', '0117']",2022-07-14 00:00:00,3000000,3000000,דירה בבית קומות,1,גבעתיים,2025,89,5,"['תל אביב-יפו שמעון ברנפלד 10', 'תל אביב-יפו דרך הטייסים 10']",שמעון ברנפלד 10 תל אביב-יפו,"(32.060667, 34.803576)",Yehudit,1.77524538,1000+,2022,21-22,21-22 - 1000+
"['006164', '0117']",2022-07-14 00:00:00,3502000,3502000,דירה בבית קומות,1,גבעתיים,2025,111,4.5,"['תל אביב-יפו שמעון ברנפלד 10', 'תל אביב-יפו דרך הטייסים 10']",שמעון ברנפלד 10 תל אביב-יפו,"(32.060667, 34.803576)",Yehudit,1.77524538,1000+,2022,21-22,21-22 - 1000+
"['006164', '0016']",2022-07-14 00:00:00,2132000,2132000,דירה בבית קומות,1,גבעתיים,2025,62,3,"['תל אביב-יפו שמעון ברנפלד 14', 'תל אביב-יפו דרך הטייסים 6']",שמעון ברנפלד 14 תל אביב-יפו,"(32.061229, 34.803941)",Yehudit,1.76755703,1000+,2022,21-22,21-22 - 1000+
"['006164', '0117']",2022-07-14 00:00:00,1544000,1544000,דירה בבית קומות,1,גבעתיים,2025,55,2,"['תל אביב-יפו שמעון ברנפלד 10', 'תל אביב-יפו דרך הטייסים 10']",שמעון ברנפלד 10 תל אביב-יפו,"(32.060667, 34.803576)",Yehudit,1.77524538,1000+,2022,21-22,21-22 - 1000+
"['006164', '0035']",2022-01-13 00:00:00,5900000,5900000,דירה בבית קומות,1,גבעתיים,2020,146,5,"['תל אביב-יפו עמישב 22', 'תל אביב-יפו דרך השלום 91']",עמישב 22 תל אביב-יפו,"(32.063256, 34.804537)",Yehudit,1.702525753,1000+,2022,21-22,21-22 - 1000+
"['006164', '0117']",2022-07-14 00:00:00,2531000,2531000,דירה בבית קומות,1,גבעתיים,2025,89,3.5,"['תל אביב-יפו שמעון ברנפלד 10', 'תל אביב-יפו דרך הטייסים 10']",שמעון ברנפלד 10 תל אביב-יפו,"(32.060667, 34.803576)",Yehudit,1.77524538,1000+,2022,21-22,21-22 - 1000+
"['006164', '0117']",2022-07-14 00:00:00,2505000,2505000,דירה בבית קומות,1,גבעתיים,2025,78,3.5,"['תל אביב-יפו שמעון ברנפלד 10', 'תל אביב-יפו דרך הטייסים 10']",שמעון ברנפלד 10 תל אביב-יפו,"(32.060667, 34.803576)",Yehudit,1.77524538,1000+,2022,21-22,21-22 - 1000+
"['006164', '0035']",2022-08-15 00:00:00,2800000,2800000,דירה בבית קומות,1,תל אביב -יפו,1988,54,4,"['תל אביב-יפו עמישב 22', 'תל אביב-יפו דרך השלום 91']",עמישב 22 תל אביב-יפו,"(32.063256, 34.804537)",Yehudit,1.702525753,1000+,2022,21-22,21-22 - 1000+
"['006164', '0264']",2022-02-20 00:00:00,320000,320000,דירה בבית קומות,0.1,גבעתיים,1960,99,3,"['גבעתיים אפק 8', 'גבעתיים אפק 6']",אפק 8 גבעתיים,"(32.0659198, 34.8056291)",Yehudit,1.690923637,1000+,2022,21-22,21-22 - 1000+
"['006164', '0015']",2022-07-14 00:00:00,54000,54000,דירה בבית קומות,0.02,גבעתיים,205,1,1,"['תל אביב-יפו שמעון ברנפלד 12', 'תל אביב-יפו דרך הטייסים 8']",שמעון ברנפלד 12 תל אביב-יפו,"(32.060973, 34.803771)",Yehudit,1.770419355,1000+,2022,21-22,21-22 - 1000+
"['006164', '0015']",2022-07-14 00:00:00,60000,60000,דירה בבית קומות,0.019,גבעתיים,2025,1,1,"['תל אביב-יפו שמעון ברנפלד 12', 'תל אביב-יפו דרך הטייסים 8']",שמעון ברנפלד 12 תל אביב-יפו,"(32.060973, 34.803771)",Yehudit,1.770419355,1000+,2022,21-22,21-22 - 1000+
